# id	left	top	right	bottom	texture_id
[SPRITES]
1	0	0	17	17	30000
2	16	0	33	17	30000
3	32	0	49	17	30000
4	48	0	65	17	30000
5	64	0	81	17	30000
6	80	0	97	17	30000
7	96	0	113	17	30000
8	112	0	130	17	30000
9	128	0	145	17	30000
10	144	0	161	17	30000
11	160	0	177	17	30000
12	0	16	17	33	30000
13	16	16	33	33	30000
14	32	16	49	33	30000
15	48	16	65	33	30000
16	64	16	81	33	30000
17	80	16	97	33	30000
18	96	16	113	33	30000
19	112	16	129	33	30000
20	128	16	145	33	30000
21	144	16	161	33	30000
22	160	16	177	33	30000
23	0	32	17	49	30000
24	16	32	33	49	30000
25	32	32	49	49	30000
26	48	32	65	49	30000
27	64	32	81	49	30000
28	80	32	97	49	30000
29	96	32	113	49	30000
30	112	32	129	49	30000
31	128	32	145	49	30000
32	144	32	161	49	30000
33	160	32	177	49	30000
34	0	48	17	65	30000
35	16	48	33	65	30000
36	32	48	49	65	30000
37	48	48	65	65	30000
38	64	48	81	65	30000
39	80	48	97	65	30000
