# list of object assets to load in this scene
[ASSETS]
assets\mario.txt
assets\background-worldmap.txt
assets\worldmap_object.txt
assets\hud.txt
#
#map_id	matrix_path	width	height
[MAPS]
30000	map\matrix_worldmap.txt	272	176
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	36	48

#==============GREENLAND OBJECTS==========
#type	x	y	ani_set	GL_Obj_Type
#PLANT
11	16	16	1
11	16	32	1
11	16	64	1
11	16	80	1
11	16	96	1
11	32	16	1
11	32	32	1
11	32	64	1
11	32	80	1
11	48	16	1
11	48	32	1
11	48	64	1
11	48	80	1
11	80	32	1
11	80	48	1
11	80	64	1
11	96	32	1
11	96	48	1
11	96	64	1
11	96	96	1
11	112	32	1
11	112	48	1
11	112	64	1
11	112	96	1
11	128	96	1
11	144	32	1
11	144	64	1
11	144	80	1
11	160	32	1
11	160	64	1
11	160	80	1
11	176	32	1
11	176	64	1
11	192	64	1
11	208	16	1
11	208	32	1
11	208	48	1
11	208	64	1
11	224	16	1
11	224	32	1
11	224	48	1
11	224	64	1
11	224	80	1
11	224	96	1
11	224	112	1
11	224	128	1
11	224	144	1

#help
11	208	96	2

#guard
11	144	112	3
